City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Vaini,75,IN,1572137745,94,15.34,74.49,68,9.17
Sitka,0,US,1572137746,35,37.17,-99.65,55.99,8.01
Sioux Lookout,90,CA,1572137746,70,50.1,-91.92,48.2,6.93
Kodiak,90,US,1572137746,76,39.95,-94.76,50,5.61
Rome,0,IT,1572137495,77,41.89,12.48,64,6.93
Atasu,21,KZ,1572137746,84,48.68,71.64,43.5,9.57
Provideniya,100,RU,1572137459,97,64.42,-173.23,30.07,19.62
Prieska,0,ZA,1572137746,36,-29.67,22.74,50.43,0.58
Hobart,75,AU,1572137666,58,-42.88,147.33,59,12.75
Hermanus,0,ZA,1572137747,85,-34.42,19.24,57,3
New Norfolk,75,AU,1572137747,52,-42.78,147.06,59,12.75
Uray,100,RU,1572137747,88,60.13,64.8,43.07,11.18
Adrar,62,DZ,1572137747,27,27.87,-0.29,62.6,8.05
Tasiilaq,90,GL,1572137747,62,65.61,-37.64,24.8,9.17
Ancud,75,CL,1572137747,87,-41.87,-73.83,44.6,8.05
Carnarvon,56,ZA,1572137645,46,-30.97,22.13,56.68,6.2
Antofagasta,90,CL,1572137747,82,-23.65,-70.4,59,14.99
Bashmakovo,100,RU,1572137748,86,53.21,43.04,47.7,14.23
Portales,1,US,1572137748,20,34.19,-103.33,68,14.99
Sorland,100,NO,1572137748,82,67.67,12.69,40.15,17.13
Saskylakh,64,RU,1572137748,96,71.97,114.09,-2.35,8.23
Rawson,94,AR,1572137749,38,-43.3,-65.11,61.57,14.27
Aliwal North,0,ZA,1572137749,32,-30.69,26.71,53.58,4.76
Belmonte,68,PT,1572137749,78,40.36,-7.35,54,3.42
Bartica,20,GY,1572137750,88,6.41,-58.62,78.8,4.7
Atuona,9,PF,1572137750,66,-9.8,-139.03,79.27,2.75
Qaanaaq,100,GL,1572137750,73,77.48,-69.36,16.38,3.91
Loiza,1,PR,1572137751,94,18.43,-65.88,80.01,9.08
Luderitz,0,NA,1572137751,93,-26.65,15.16,57.2,1.12
Port Lincoln,50,AU,1572137751,68,-34.72,135.86,59.32,7.61
Coahuayana,73,MX,1572137752,84,18.62,-100.35,76.03,1.86
Hithadhoo,99,MV,1572137752,76,-0.6,73.08,82,12.71
Dikson,78,RU,1572137752,89,73.51,80.55,6.08,6.24
Butaritari,100,KI,1572137752,74,3.07,172.79,84.22,8.66
Lata,0,IN,1572137752,25,30.78,78.62,26.2,3.49
Balkhash,1,KZ,1572137753,72,46.84,74.98,42.62,2.48
Rio Grande,0,BR,1572137753,85,-32.03,-52.1,68,16.96
Talaya,75,RU,1572137753,92,55.79,84.89,30.2,13.42
Iqaluit,90,CA,1572137753,79,63.75,-68.52,32,8.05
Portland,1,US,1572137753,81,43.66,-70.25,46.99,5.46
Novobiryusinskiy,100,RU,1572137753,92,56.96,97.71,22.78,2.91
Thompson,90,CA,1572137753,96,55.74,-97.86,32,12.75
Karratha,0,AU,1572137753,47,-20.74,116.85,80.89,9.04
Zapolyarnyy,94,RU,1572137815,85,69.43,30.82,19.4,5.82
Theunissen,0,ZA,1572137815,30,-28.4,26.71,54.79,6.51
Mount Gambier,90,AU,1572137815,87,-37.83,140.78,57.2,11.41
Castro,75,CL,1572137815,87,-42.48,-73.76,44.6,8.05
Marawi,86,PH,1572137815,73,8,124.29,82,3
Khatanga,37,RU,1572137815,89,71.98,102.47,0.39,4.12
Komsomolskiy,99,RU,1572137816,84,67.55,63.78,12.07,10.09
Saint Anthony,75,US,1572137816,47,43.97,-111.68,35.6,12.75
East London,92,ZA,1572137816,83,-33.02,27.91,66.99,13.38
Cidreira,18,BR,1572137816,91,-30.17,-50.22,69.4,28.97
Jishou,100,CN,1572137816,96,28.26,109.7,48.74,0.81
Ambon,90,FR,1572137816,100,47.55,-2.56,62.6,13.87
Airai,14,TL,1572137739,40,-8.93,125.41,79.7,5.08
Padang,46,ID,1572137817,96,-0.92,100.36,68.29,1.05
Saldanha,48,PT,1572137817,63,41.42,-6.55,55.89,1.95
Hervey Bay,38,AU,1572137817,48,-25.3,152.85,82.99,12.75
Bredasdorp,46,ZA,1572137817,87,-34.53,20.04,53.6,4.7
Pevek,0,RU,1572137817,70,69.7,170.27,8.1,11.59
Maniitsoq,62,GL,1572137817,64,65.42,-52.9,36.79,11.68
Linxia,16,CN,1572137817,59,35.6,103.21,34.34,1.45
Moose Factory,90,CA,1572137818,53,51.26,-80.61,50,12.75
Opuwo,78,NA,1572137818,26,-18.06,13.84,69.66,9.33
Tuatapere,100,NZ,1572137818,89,-46.13,167.69,55.99,1.99
Torbay,90,CA,1572137818,100,47.66,-52.73,43,9.17
Esperance,60,AU,1572137818,68,-33.86,121.89,64.4,12.75
Yellowknife,75,CA,1572137818,79,62.45,-114.38,24.8,6.93
Jumla,0,NP,1572137818,30,29.28,82.18,36.36,5.19
Honningsvag,94,NO,1572137818,63,70.98,25.97,31.82,1.61
Sabha,25,LY,1572137819,31,27.03,14.43,73.51,6.78
Cravo Norte,36,CO,1572137819,78,6.3,-70.2,79.72,3.91
Norman Wells,75,CA,1572137819,92,65.28,-126.83,26.6,4.7
Digby,3,CA,1572137819,59,44.62,-65.76,48,8.01
Noshiro,75,JP,1572137819,76,40.21,140.05,59,5.82
Jacareacanga,77,BR,1572137819,63,-6.22,-57.76,80.26,1.39
Maceio,20,BR,1572137819,94,-9.67,-35.74,73.4,4.7
Lithgow,6,AU,1572137820,22,-33.48,150.16,73,6.93
Batagay-Alyta,25,RU,1572137820,83,67.8,130.41,-2.38,2.62
Nanortalik,100,GL,1572137820,76,60.14,-45.24,35.8,9.42
Boundiali,4,CI,1572137820,77,9.53,-6.48,75.61,6.04
Nogliki,100,RU,1572137820,93,51.8,143.14,44.17,16.69
Chicama,20,PE,1572137820,82,-7.84,-79.15,62.6,9.17
Cabo San Lucas,20,MX,1572137820,74,22.89,-109.91,82.4,9.17
Mahebourg,40,MU,1572137703,88,-20.41,57.7,70,4.12
Am Timan,100,TD,1572137821,66,11.04,20.28,77.54,2.28
Jamestown,8,AU,1572137821,48,-33.21,138.6,57.51,8.3
Dunyapur,0,PK,1572137821,88,29.8,71.74,66.2,1.97
Nhulunbuy,75,AU,1572137821,62,-12.18,136.78,86,9.17
Itoman,40,JP,1572137821,69,26.12,127.67,78.8,12.75
Coolum Beach,63,AU,1572137821,62,-26.53,153.09,82,3
Severobaykalsk,45,RU,1572137822,65,55.65,109.32,25.14,14.16
Mossendjo,96,CG,1572137822,99,-2.95,12.72,70.97,1.07
Fort Nelson,75,CA,1572137822,69,58.81,-122.69,35.6,2.24
Tondano,20,ID,1572137883,62,1.3,124.91,86,1.12
Fernley,1,US,1572137883,14,39.61,-119.25,70,12.75
Hasaki,75,JP,1572137883,88,35.73,140.83,68,4.7
Barrow,67,AR,1572137883,85,-38.31,-60.23,60.82,13.27
Bassila,100,BJ,1572137884,93,9,1.66,72.48,1.66
Sao Filipe,60,CV,1572137884,88,14.9,-24.5,76.82,8.55
Batticaloa,100,LK,1572137884,87,7.71,81.69,72.18,4.99
Chokurdakh,100,RU,1572137884,86,70.62,147.9,-6.17,1.39
Bireun,99,ID,1572137884,90,5.2,96.7,67.96,0.83
Antalaha,43,MG,1572137884,87,-14.9,50.28,75.34,5.23
Nikolskoye,40,RU,1572137884,93,59.7,30.79,43,6.71
Saint-Pierre,87,FR,1572137885,87,48.95,4.24,57.99,12.75
Turan,46,RU,1572137885,83,52.15,93.92,15.15,4.05
Mar del Plata,50,AR,1572137885,25,-46.43,-67.52,58.51,25.23
Merauke,92,ID,1572137885,54,-8.49,140.4,88,5.86
Fortuna,1,US,1572137645,58,40.6,-124.16,57.99,24.16
Lumsden,90,CA,1572137885,86,50.65,-104.86,28.99,20.8
Ola,100,RU,1572137885,94,59.58,151.3,37.71,14.34
Pinto,76,CL,1572137885,82,-36.7,-71.89,59,9.17
Back Mountain,90,US,1572137885,87,41.34,-76,54,4.7
Goure,76,NE,1572137886,27,13.98,10.27,79,1.01
Lasa,0,CY,1572137886,82,34.92,32.53,64.4,5.82
Lexington,90,US,1572137886,82,38.05,-84.5,69.01,10.29
Inhambane,41,MZ,1572137886,88,-23.87,35.38,76.39,8.68
Cedral,0,MX,1572137886,45,23.82,-100.72,69.31,6.69
Tarnos,42,FR,1572137886,49,43.54,-1.46,70,6.93
Upernavik,75,GL,1572137886,63,72.79,-56.15,26.46,8.84
Omboue,100,GA,1572137886,97,-1.57,9.26,73.89,5.5
Knysna,59,ZA,1572137887,93,-34.04,23.05,55.4,4.7
Bom Jardim,40,BR,1572137887,83,-7.8,-35.59,73.4,10.29
Dong Hoi,87,VN,1572137887,90,17.48,106.6,77,4.85
Arlit,0,NE,1572137704,14,18.74,7.39,84.94,9.69
Touros,75,BR,1572137887,83,-5.2,-35.46,77,9.17
Bhatkal,85,IN,1572137887,87,13.97,74.57,76.86,13.71
Arraial do Cabo,8,BR,1572137887,90,-22.97,-42.02,74.01,18.34
Tiksi,98,RU,1572137887,93,71.64,128.87,8.38,2.93
Te Anau,100,NZ,1572137888,92,-45.41,167.72,45.79,7.52
High Level,75,CA,1572137888,46,58.52,-117.13,28.4,2.24
Yulara,100,AU,1572137888,20,-25.24,130.99,77,17.22
Cochabamba,75,BO,1572137872,30,-17.39,-66.16,71.6,6.93
Tornio,75,FI,1572137888,86,61.12,27.27,39.2,10.29
Paita,6,PE,1572137888,79,-5.09,-81.11,64.11,11.92
Kumbhraj,87,IN,1572137888,90,24.44,77,66.74,5.3
Chifeng,0,CN,1572137889,42,42.27,118.96,36.52,5.79
Hami,2,CN,1572137889,34,42.84,93.51,36.46,3.33
Paulista,30,BR,1572137889,57,-6.6,-37.62,82.6,14.36
Muravlenko,100,RU,1572137889,99,63.79,74.5,34.05,11.77
Svay Rieng,63,KH,1572137889,88,11.08,105.8,77.83,6.91
Encarnacion,0,PY,1572137889,58,-27.34,-55.87,84.2,6.17
Visby,100,SE,1572137889,100,57.64,18.3,48.99,3.36
Ziarat,1,PK,1572137889,38,30.38,67.73,45.43,1.88
Port Elizabeth,20,US,1572137890,82,39.31,-74.98,62.01,6.93
Mount Isa,11,AU,1572137890,11,-20.73,139.49,89.6,16.11
Kenora,87,CA,1572137890,65,49.76,-94.48,46.4,18.34
Mpongwe,0,ZM,1572137890,40,-13.51,28.16,65.57,3.83
Winsum,75,NL,1572137890,93,53.33,6.52,55,14.99
College,90,US,1572137951,71,64.86,-147.8,34,4.7
Bambous Virieux,40,MU,1572137952,88,-20.34,57.76,70,9.82
Port Blair,40,IN,1572137952,100,11.67,92.75,77,2.24
Spanish Town,20,JM,1572137952,78,18,-76.95,82.4,14.99
Pisco,75,PE,1572137952,30,-13.71,-76.2,71.6,16.11
Turukhansk,99,RU,1572137952,91,65.8,87.96,15.37,11.41
Itarema,89,BR,1572137952,70,-2.92,-39.92,78.51,11.25
Riyadh,44,SA,1572137952,31,24.63,46.72,75.2,3.36
Santa Isabel do Rio Negro,86,BR,1572137952,74,-0.41,-65.02,79.95,0.45
Eufaula,90,US,1572137953,94,31.89,-85.15,75.2,10.29
Thinadhoo,99,MV,1572137953,77,0.53,72.93,81.73,12.93
Japura,95,ID,1572137953,94,-0.42,102.29,74.41,0.92
Quatre Cocos,40,MU,1572137953,88,-20.21,57.76,70,10.04
Moron,65,HT,1572137953,74,18.56,-74.26,81.34,3.53
Roswell,1,US,1572137954,15,33.39,-104.52,73.4,12.75
Sechura,44,PE,1572137954,84,-5.56,-80.82,63.84,12.03
Akdepe,0,TM,1572137954,60,42.05,59.39,42.8,2.24
Hilo,90,US,1572137954,62,19.71,-155.08,84.2,8.05
Slave Lake,1,CA,1572137936,50,55.28,-114.77,30.2,14.99
Daru,89,PG,1572137954,78,-9.07,143.21,80.46,7.94
Ranong,20,TH,1572137954,100,9.96,98.62,75.2,8.28
Broome,100,GB,1572137954,93,52.47,1.45,44.01,8.05
Nuuk,99,GL,1572137955,74,64.17,-51.74,32,3.36
Bloomsburg,90,US,1572137955,87,41,-76.45,55,4.7
Longyearbyen,40,NO,1572137955,68,78.22,15.63,24.8,19.46
Mbarara,3,UG,1572137955,91,-0.61,30.65,60.58,3
Geraldton,40,CA,1572137955,56,49.72,-86.95,44.6,13.87
Ngara,13,ID,1572137955,46,-8.5,120.99,82.99,3.31
La Ronge,90,CA,1572137955,68,55.1,-105.3,24.8,17.22
Acapulco,75,MX,1572137955,78,16.86,-99.88,82.4,4.7
Berlevag,100,NO,1572137955,57,70.86,29.09,32.47,8.25
Ostrovnoy,100,RU,1572137956,76,68.05,39.51,26.73,11.5
Somerville,1,US,1572137956,62,40.57,-74.61,59,3.36
Barpali,100,IN,1572137956,92,21.2,83.58,71.44,2.48
Ternate,20,PH,1572137956,70,14.29,120.72,87.01,4.7
Cheremnoye,40,RU,1572137956,100,53.17,83.21,37.4,11.18
Clyde River,90,CA,1572137956,100,70.47,-68.59,28.4,12.75
Talnakh,75,RU,1572137956,92,69.49,88.39,17.6,15.66
Yangambi,100,CD,1572137957,97,0.77,24.47,69.31,1.43
Healdsburg,1,US,1572137957,49,38.61,-122.87,82,5.82
Sydney Mines,75,CA,1572137957,75,46.24,-60.22,43,18.34
Camacha,20,PT,1572137957,78,33.08,-16.33,77,6.93
Zhuhai,0,CN,1572137957,79,40.71,112.04,28.4,4.47
Srednekolymsk,45,RU,1572137957,90,67.46,153.71,-4.49,3.42
Grand-Santi,53,GF,1572137957,82,4.27,-54.38,76.44,2.48
Yekaterinovka,0,RU,1572137958,70,46.69,38.75,53.92,1.7
Mulki,72,PL,1572137958,93,49.81,20.51,53.01,1.12
Samut Prakan,0,TH,1572137958,83,13.6,100.6,90,3.36
Watertown,1,US,1572137860,75,44.9,-97.12,48,20.8
Mandya,89,IN,1572137958,88,12.52,76.9,68.23,3.15
Bang Saphan,40,TH,1572137958,100,11.21,99.51,77,3.65
Neryungri,100,RU,1572137959,91,56.66,124.71,15.12,5.17
Saint-Philippe,1,CA,1572137959,80,45.36,-73.48,46,3.36
Souillac,99,FR,1572138020,87,45.6,-0.6,57.2,2.24
Wanaka,43,NZ,1572138020,63,-44.7,169.14,57,1.01
Mudkhed,10,IN,1572138020,95,19.15,77.51,69.13,5.26
Katoro,0,TZ,1572138020,77,-3,31.93,66.33,2.71
Victor Harbor,75,AU,1572138021,59,-35.55,138.62,64,11.41
Bandarbeyla,41,SO,1572138021,63,9.49,50.81,79.27,4.12
Naryan-Mar,51,RU,1572138021,90,67.67,53.09,12.15,6.44
Nome,1,US,1572138021,82,30.04,-94.42,59,3.96
Zelenoborskiy,100,RU,1572138021,85,66.84,32.36,21.99,10.11
Alta Floresta,97,BR,1572138021,80,-9.87,-56.08,74.16,5.46
San Quintin,82,PH,1572138021,73,17.54,120.52,78.04,4.7
Shache,0,CN,1572138022,36,38.42,77.24,41.7,2.44
Tallahassee,90,US,1572138004,94,30.44,-84.28,77,6.93
Walvis Bay,0,NA,1572138022,93,-22.95,14.51,57.2,1.12
Otradnoye,40,RU,1572138022,93,59.77,30.8,43,6.71
Nisia Floresta,75,BR,1572138022,88,-6.09,-35.21,78.8,8.05
Tezu,100,IN,1572138022,98,27.93,96.16,64.27,1.77
Saravan,0,AM,1572138022,75,39.72,45.65,46.4,6.93
Trinidad,67,BO,1572138022,58,-14.83,-64.9,84.65,4.54
Puerto Quijarro,41,BO,1572138023,41,-19,-57.72,88.93,5.03
Andrews,1,US,1572138023,13,32.32,-102.55,71.6,6.93
San Ramon,71,NI,1572137799,96,12.92,-85.84,68.29,2.15
Neustrelitz,100,DE,1572138023,63,53.36,13.06,60.01,11.01
Tura,100,RU,1572137833,87,64.27,100.22,6.28,3.69
Ramsgate,0,AU,1572138023,17,-33.98,151.14,75.99,17.22
Arona,0,IT,1572138023,100,45.76,8.56,57,5.82
Gat,34,SN,1572138023,94,14.69,-16.54,82.4,11.41
Najran,18,SA,1572138023,68,17.54,44.22,68,4.45
Warri,100,NG,1572138024,95,5.52,5.75,75.2,0.6
Raudeberg,100,NO,1572138024,70,61.99,5.14,44.6,13.87
Leningradskiy,0,RU,1572138024,60,69.38,178.42,16.65,10.78
Ouagadougou,28,BF,1572138024,54,12.37,-1.53,82.4,6.93
Hofn,50,IS,1572138024,56,64.25,-15.21,36.19,9.24
Along,98,IN,1572138024,99,28.17,94.8,62.28,0.38
Murgab,75,TM,1572138024,47,37.5,61.97,59,4.7
Abu Kamal,41,SY,1572138024,58,34.45,40.92,70.3,3.65
Hambantota,75,LK,1572138025,100,6.12,81.12,75.2,2.24
Oistins,20,BB,1572137819,78,13.07,-59.53,80.6,9.17
Zhezkazgan,0,KZ,1572138025,83,47.8,67.71,44.22,5.73
Rumphi,0,MW,1572138025,63,-11.02,33.86,66.65,6.44
Lafiagi,97,NG,1572138025,91,8.85,5.42,74.26,0.94
La Brea,20,TT,1572138025,74,10.24,-61.62,82.4,3.36
Plettenberg Bay,17,ZA,1572138025,90,-34.05,23.37,57.11,5.06
Luwuk,33,ID,1572137866,77,-0.95,122.79,81.09,9.55
Yavatmal,97,IN,1572138026,94,20.39,78.13,69.12,7.43
Henties Bay,22,NA,1572138026,96,-22.12,14.28,57,5.01
Tuktoyaktuk,90,CA,1572138026,79,69.44,-133.03,28.4,19.46
Broken Hill,0,AU,1572138026,38,-31.97,141.45,60.8,8.05
Pacific Grove,1,US,1572138026,67,36.62,-121.92,82.99,6.93
Bam,0,IR,1572138026,35,29.11,58.36,64.11,1.23
Ambilobe,8,MG,1572138026,90,-13.19,49.05,71.91,5.08
Vardo,90,US,1572138026,77,39.62,-77.74,60.01,6.93
Chabahar,0,IR,1572138027,60,25.29,60.65,69.8,2.8
Vestmanna,100,FO,1572138027,81,62.16,-7.17,42.8,32.21
Tres Arroyos,61,AR,1572138027,84,-38.38,-60.28,61.56,12.68
Kuytun,100,RU,1572138088,93,54.34,101.51,23.49,6.51
Pivijay,40,CO,1572138088,88,10.46,-74.62,82.4,2.24
Sipe Sipe,75,BO,1572138088,30,-17.45,-66.36,71.6,6.93
Ayna,0,ES,1572138088,93,38.55,-2.07,55.99,5.82
Bilibino,0,RU,1572138089,73,68.06,166.44,-0.77,3.47
Isangel,40,VU,1572138089,54,-19.55,169.27,82.4,11.41
Mimarsinan,20,TR,1572138089,93,38.73,35.6,39.2,2.37
Owerri,100,NG,1572138089,94,5.49,7.03,74.95,2.08
Kokubu,75,JP,1572138089,77,31.73,130.77,66.2,6.93
Muroto,75,JP,1572138089,68,33.37,134.14,66.2,5.82
Caraquet,1,CA,1572138089,64,47.79,-64.94,39.2,3.36
Kaeo,37,NZ,1572138090,41,-35.1,173.78,79,7
Chiang Rai,40,TH,1572138090,100,19.9,99.84,75.99,1.48
Verkhnyaya Inta,100,RU,1572138090,93,65.99,60.32,18.23,8.12
Malkara,0,TR,1572138090,93,40.89,26.9,53.17,5.75
Mezen,95,RU,1572138090,79,65.85,44.24,25.32,7.58
Kloulklubed,75,PW,1572138090,70,7.04,134.26,86,8.05
Melfort,90,CA,1572138090,86,52.87,-104.61,26.6,18.34
Jining,91,CN,1572138091,22,35.41,116.58,55.99,8.34
Port Hedland,3,AU,1572138091,31,-20.31,118.58,91.4,11.41
George Town,75,MY,1572137994,88,5.42,100.33,80.6,2.24
Terenos,40,BR,1572138091,78,-20.44,-54.87,73.4,5.82
Turbat,0,PK,1572138091,39,26,63.05,76.03,3.51
Balkanabat,94,TM,1572138091,22,39.51,54.36,60.76,10.69
Kabo,100,CF,1572138091,96,7.69,18.62,70.59,6.31
Vera Cruz,40,BR,1572138092,74,-12.96,-38.61,80.6,12.75
Rabak,10,SD,1572138092,14,13.18,32.74,82.13,10.49
Kimbe,95,PG,1572138092,71,-5.56,150.15,84.79,2.44
Lorengau,89,PG,1572138092,78,-2.02,147.27,81.36,3.51
Kavieng,32,PG,1572138092,67,-2.57,150.8,83.71,3.69
Lagoa,40,PT,1572138092,82,37.14,-8.45,61,6.93
Bilma,51,NE,1572138092,21,18.69,12.92,78.1,7.09
Vilyuysk,92,RU,1572138092,89,63.75,121.63,15.98,10.94
Kutum,17,SD,1572138092,29,14.2,24.66,72.27,4.68
Pusztaszer,0,HU,1572138093,100,46.55,19.98,46,3.71
Carballo,100,ES,1572138093,68,43.21,-8.69,66.99,10.29
Kalabo,77,ZM,1572138093,69,-15,22.67,72.45,4.65
Paamiut,100,GL,1572138093,47,61.99,-49.67,35.33,7.81
Inirida,93,CO,1572138093,95,3.87,-67.92,74.68,2.04
Skaudvile,100,LT,1572138093,79,55.42,22.62,55.08,12.21
Haines Junction,43,CA,1572138094,97,60.75,-137.51,24.46,5.93
Solnechnyy,96,RU,1572138094,84,50.72,136.64,36.79,2.17
Aykhal,90,RU,1572138094,84,65.95,111.51,3.2,6.71
Riviere-du-Loup,0,CA,1572138094,70,47.83,-69.53,41.09,13.06
Doctor Arroyo,3,MX,1572138094,66,23.67,-100.18,63.73,6.8
Yumen,0,CN,1572138095,33,40.29,97.04,35.47,22.86
Kalevala,100,FI,1572138095,95,64.12,29.58,31.39,9.17
Lompoc,1,US,1572138095,49,34.64,-120.46,72,5.82
Hirara,40,JP,1572138095,73,24.8,125.28,78.8,4.7
Mozarlandia,99,BR,1572138095,66,-14.74,-50.57,80.94,4.63
Pundaguitan,41,PH,1572138095,77,6.37,126.17,81.97,10.2
Kruisfontein,60,ZA,1572138095,88,-34,24.73,57.97,3.89
Kavaratti,100,IN,1572138157,77,10.57,72.64,82.53,16.04
Lodwar,37,KE,1572138157,52,3.12,35.6,82.06,18.59
Nirmal,99,IN,1572138157,96,19.09,78.35,69.89,4.92
Crestview,90,US,1572138043,88,30.76,-86.57,73.4,3.36
Wilmington,90,US,1572137738,76,39.75,-75.55,57.99,5.82
Ust-Nera,100,RU,1572138157,99,64.57,143.24,-5.95,1.59
Kargasok,100,RU,1572138157,97,59.06,80.87,31.69,19.86
Lima,90,PE,1572138116,77,-12.06,-77.04,62.6,10.29
Littleton,20,US,1572138016,46,39.61,-105.02,64.4,32.21
Sheregesh,100,RU,1572138158,97,52.93,87.98,27.82,6.6
Salalah,96,OM,1572138158,61,17.01,54.1,77,2.24
San Estanislao,25,PY,1572138158,41,-24.67,-56.44,86,9.33
Nelson Bay,0,AU,1572138158,28,-32.72,152.14,72,12.75
Coquimbo,20,CL,1572138158,82,-29.95,-71.34,55.4,5.82
Grindavik,3,IS,1572138158,73,63.84,-22.43,26.6,8.05
Timra,0,SE,1572138158,100,62.49,17.33,34,4.7
Neuquen,0,AR,1572137964,34,-38.95,-68.06,66.2,12.75
Puerto Madero,75,AR,1572138159,77,-34.61,-58.36,78.8,4.7
Hay River,75,CA,1572138159,54,60.82,-115.79,28.4,4.7
Senador Jose Porfirio,41,BR,1572138159,87,-2.59,-51.95,77.07,3.2
Buala,36,SB,1572138159,69,-8.15,159.59,84.63,6.46
Garanhuns,57,BR,1572138159,93,-8.89,-36.49,68.27,12.08
Singapore,75,MY,1572138003,83,1.29,103.85,82,3.36
Gamba,3,CN,1572138159,63,28.28,88.52,23.25,0.74
Dumai,89,ID,1572138068,94,1.68,101.45,74.79,1.99
Glendive,20,US,1572138160,63,47.11,-104.71,30.99,16.11
